@SEC 2.1 อาการ / ปัญหาสำคัญ|ข|84 อาการ
2.1.1	ไข้ (fever)
2.1.2	อ่อนเพลีย ไม่มีแรง (malaise and fatigue)
2.1.3	ปวดศีรษะ (headache)
2.1.4	มึนศีรษะ เวียนศีรษะ (dizziness, vertigo)
2.1.5	หน้ามืด เป็นลม (fainting, syncope)
2.1.6	การเจริญเติบโตไม่สมวัย (failure to thrive, faltering growth)
2.1.7	การเดินผิดปกติ (abnormal gait)
2.1.8	น้ำหนักเพิ่มขึ้น (weight gain)
2.1.9	น้ำหนักลดลง (weight loss)
2.1.10	การบาดเจ็บ (Injury)
2.1.11	ปวดท้อง (abdominal pain, dyspepsia)
2.1.12	ท้องโตขึ้น (abdominal distension)
2.1.13	ตาเหลือง ตัวเหลือง ดีซ่าน (jaundice)
2.1.14	เบื่ออาหาร (anorexia)
2.1.15	คลื่นไส้ อาเจียน (nausea, vomiting)
2.1.16	อาเจียนเป็นเลือด (hematemesis)
2.1.17	กลืนลำบาก (dysphagia)
2.1.18	อุจจาระร่วง (diarrhea)
2.1.19	ท้องผูก (constipation)
2.1.20	อุจจาระเป็นเลือด ถ่ายดำ (hematochezia, melena)
2.1.21	ก้อนในท้อง (abdominal mass)
2.1.22	กล้ามเนื้ออ่อนแรง (muscle weakness)
2.1.23	ชัก (seizures, convulsions)
2.1.24	สั่น การเคลื่อนไหวผิดปกติ (tremor, abnormal movement)
2.1.25	ชา (numbness, paresthesia)
2.1.26	ปวดกล้ามเนื้อ ปวดกระดูก (musculoskeletal pain)
2.1.27	ปวดข้อ ข้อฝืด ข้อติด (joint pain, stiff joint, frozen joint)
2.1.28	เจ็บคอ (sore throat)
2.1.29	คัดจมูก น้ำมูกไหล จาม (stuffy nose, rhinorrhea, sneezing)
2.1.30	เลือดกำเดาออก (epistaxis)
2.1.31	เสียงแหบ (hoarseness)
2.1.32	ไอ (cough)
2.1.33	ไอเป็นเลือด (hemoptysis)
