@SEC 2.2 โรค/ภาวะ/กลุ่มอาการฉุกเฉิน (รวมทุกระบบ)|ข|49 รายการ
2.2.1	Acute coronary syndrome
2.2.2	Cardiac tamponade
2.2.3	Cardiopulmonary arrest
2.2.4	Malignant hypertension
2.2.5	Pulmonary edema
2.2.6	Ruptured and threatening ruptured dissecting aneurysm
2.2.7	Shock; hypovolemic, anaphylactic, septic, cardiogenic
2.2.8	Anoxic spell
2.2.9	Acute respiratory failure
2.2.10	Airway obstruction
2.2.11	Asthma exacerbation, Acute exacerbation of COPD
2.2.12	Acute pulmonary embolism
2.2.13	Superior vena cava obstruction
2.2.14	Tension pneumothorax
2.2.15	Hyperkalemia, severe hypokalemia
2.2.16	Hyperglycemic crisis
2.2.17	Hypoglycemia
2.2.18	Acute hemolytic crisis
2.2.19	Acute limb ischemia
2.2.20	Disseminated intravascular coagulation
2.2.21	Incompatible blood transfusion
2.2.22	Hyperventilation syndrome
2.2.23	Panic attack
2.2.24	Suicide attempt, suicidal ideation, self-inflicted harm
2.2.25	Violence e.g., acute psychosis, delirium, aggression
2.2.26	Acute corneal abrasion and ulcer
2.2.27	Acute glaucoma
2.2.28	Anuria/oliguria
2.2.29	Acute urinary retention
2.2.30	Obstructed labor
2.2.31	Prolapsed umbilical cord
2.2.32	Severe pre-eclampsia, eclampsia
2.2.33	Threatened uterine rupture
2.2.34	Rape
2.2.35	Acute increased intracranial pressure
