@SEC 2.3 โรคตามระบบ|ข|
@TBL 2.3.1 Infectious And Parasitic Diseases
2.3.1(1)	Acute viral hepatitis
2.3.1(2)	Arthropod-borne viral infections (e.g., dengue virus disease, chikungunya virus disease, zika virus disease)
2.3.1(3)	Botulism
2.3.1(4)	Diphtheria
2.3.1(5)	Tetanus
2.3.1(6)	Pertussis
2.3.1(7)	Gastrointestinal infection and food-borne intoxication
2.3.1(8)	Herpes simplex infection
2.3.1(9)	Human immunodeficiency virus disease (HIV disease)
2.3.1(10)	Infectious mononucleosis
2.3.1(11)	Influenza
2.3.1(12)	Intestinal parasitic infestation (e.g., ascariasis, hookworm infestation, enterobiasis, trichuriasis, strongyloidiasis, taeniasis, capillariasis)
2.3.1(13)	Leptospirosis
2.3.1(14)	Malaria
2.3.1(15)	Mumps
2.3.1(16)	Melioidosis
2.3.1(17)	Meningococcal disease
2.3.1(18)	Pneumocystosis in HIV patients
2.3.1(19)	Sexually transmitted infections: syphilis, gonococcal infection, chlamydia, chancroid, trichomoniasis, anogenital herpes simplex, human immunodeficiency virus (HIV) disease, human papilloma virus (HPV)
2.3.1(20)	Tuberculosis
2.3.1(21)	Typhoid and paratyphoid fever
2.3.1(22)	Varicella zoster virus infections (chicken pox, zoster)
2.3.1(23)	Viral exanthemata (e.g., measles, rubella, erythema infectiosum, roseola infantum, hand foot mouth diseases)
2.3.1-3(1)	Rabies
2.3.1-3(2)	Poliomyelitis
2.3.1-3(3)	Chronic viral hepatitis
2.3.1-3(4)	Cytomegaloviral disease
2.3.1-3(5)	Emerging infectious diseases (e.g., COVID19)
2.3.1-3(6)	Opportunistic infections in immunocompromised host (e.g., isosporosis, microsporidiosis, cryptosporidiosis)
2.3.1-3(7)	Systemic mycoses (e.g., candidiasis, cryptococcosis, aspergillosis, penicillosis, mucormycosis)
2.3.1-3(8)	Tissue parasitic diseases (e.g., trichinosis, cysticercosis, gnathostomiasis, angiostrongyliasis, filariasis, toxoplasmosis, opisthorchiasis, paragonimiasis, schistosomiasis, acanthamoeba infection, naegleria infection, leishmaniasis)
2.3.1-3(9)	Zoonotic diseases (e.g., brucellosis, plague, anthrax, Nipah virus infection)
