@TBL 2.3.4 Endocrine, Nutritional And Metabolic Disorders
2.3.4(1)	Diabetes mellitus
2.3.4(2)	Disorders of fluid, electrolytes, and acid-base balance (e.g., acidosis, alkalosis, hyponatremia, hypernatremia, hypocalcemia, hypercalcemia)
2.3.4(3)	Goiter
2.3.4(4)	Hypothyroidism
2.3.4(5)	Iodine deficiency
2.3.4(6)	Metabolic syndrome
2.3.4(7)	Obesity
2.3.4(8)	Protein-energy malnutrition
2.3.4(9)	Thyrotoxicosis
2.3.4(10)	Vitamin deficiency (a, b, c, d, e, k)
2.3.4-3(1)	Cushing syndrome
2.3.4-3(2)	Thyroiditis
2.3.4-3(3)	Thyroid crisis or storm
2.3.4-3(4)	Other hormonal disorders (e.g., Addison disease, pituitary gland disorders, diabetes insipidus, parathyroid gland disorders, hypogonadism)
2.3.4-3(5)	Syndrome of inappropriate secretion of antidiuretic hormone (SIADH)
2.3.4-3(6)	Vitamin toxicities
@TBL 2.3.5 Mental And Behavioral Disorders
2.3.5(1)	Mental and behavioral disorders due to alcohol, drugs, and substances
2.3.5(2)	Depressive disorders, panic disorder, generalized anxiety disorder and adjustment disorder
2.3.5-3(1)	Bipolar and related disorders
2.3.5-3(2)	Behavioral and emotional problems in childhood and adolescence (e.g., enuresis, nail biting, thumb sucking, separation anxiety, nightmare, night terror, feeding and eating problems)
2.3.5-3(3)	Behavioral syndromes associated with physiological dysfunction and physical factors (e.g., eating disorder, sleep disorder, sexual dysfunction, post-partum psychosis)
2.3.5-3(4)	Neurodevelopmental disorders (attention deficit hyperactivity disorder, autism spectrum disorder, specific learning disorder, tic disorders, communication disorders, intellectual disabilities
2.3.5-3(5)	Neurocognitive disorders (e.g., dementia, brain damage, systemic diseases, alcohol & substance induced, organic amnestic syndrome)
