@TBL 2.3.7 Disorders Of The Eyes And Adnexa
2.3.7(1)	Conjunctivitis
2.3.7(2)	Dry eye syndrome
2.3.7(3)	Hordeolum and chalazion
2.3.7(4)	Pinguecula
2.3.7(5)	Pterygium
2.3.7-3(1)	Cataract
2.3.7-3(2)	Dacryostenosis, dacryocystitis
2.3.7-3(3)	Disorders of ocular muscles, refraction & accommodation (e.g., strabismus, amblyopia, myopia, presbyopia, hypermetropia, astigmatism)
2.3.7-3(4)	Disorders of refraction and accommodation (myopia, presbyopia, hypermetropia, astigmatism)
2.3.7-3(5)	Glaucoma
2.3.7-3(6)	Keratitis
2.3.7-3(7)	Retinopathy
2.3.7-3(8)	Uveitis
@TBL 2.3.8 Disorders Of The Ears & Mastoid Process
2.3.8(1)	Acute otitis externa
2.3.8(2)	Acute otitis media, myringitis
2.3.8(3)	Impacted cerumen
2.3.8(4)	Perichondritis of the pinna
2.3.8-3(1)	Chronic otitis media
2.3.8-3(2)	Conductive and sensorineural hearing loss
2.3.8-3(3)	Disorders of vestibular function and vertiginous syndrome (Meniere syndrome, vestibular neuritis, benign positional paroxysmal vertigo)
2.3.8-3(4)	Mastoiditis, cholesteatoma
2.3.8-3(5)	Perforation of tympanic membrane
