@TBL 2.3.11 Disorders Of The Digestive System
2.3.11(1)	Acute pancreatitis
2.3.11(2)	Alcoholic liver disease
2.3.11(3)	Anal fissure
2.3.11(4)	Cirrhosis
2.3.11(5)	Esophagitis, gastro-esophageal reflux
2.3.11(6)	Functional gastrointestinal disorders (e.g., functional dyspepsia, functional digestive disorder in children, irritable bowel syndrome, functional constipation)
2.3.11(7)	Hemorrhoids
2.3.11(8)	Liver abscess
2.3.11(9)	Oral inflammation / ulcer (e.g., aphthous ulcer, stomatitis, glossitis, thrush)
2.3.11(10)	Peptic ulcer, gastritis
2.3.11-3(1)	Acute appendicitis
2.3.11-3(2)	Chronic diarrhea
2.3.11-3(3)	Cholelithiasis, cholecystitis, cholangitis
2.3.11-3(4)	Fistula in ano
2.3.11-3(5)	Gastrointestinal obstruction
2.3.11-3(6)	Gastrointestinal hemorrhage
2.3.11-3(7)	Hepatic failure
2.3.11-3(8)	Hernia (inguinal, umbilical, incisional)
2.3.11-3(9)	Intestinal diverticular diseases
2.3.11-3(10)	Peritonitis
2.3.11-3(11)	Perianal abscess
@TBL 2.3.12 Disorders Of Skin And Subcutaneous Tissue
2.3.12(1)	Acne
2.3.12(2)	Abscess
2.3.12(3)	Burn
2.3.12(4)	Cellulitis
2.3.12(5)	Corn
2.3.12(6)	Cyst
2.3.12(7)	Dermatitis and eczema
2.3.12(8)	Dyshidrosis, miliaria
2.3.12(9)	Impetigo
2.3.12(10)	Infestations by ectoparasites - pediculosis, phthiriasis, scabies
2.3.12(11)	Mycoses: candidiasis (superficial), dermatophytosis pityriasis versicolor
2.3.12(12)	Scar
2.3.12(13)	Ulcers
2.3.12(14)	Urticaria
2.3.12(15)	Wart
2.3.12-3(1)	Alopecia areata
2.3.12-3(2)	Bullous dermatoses (e.g., pemphigus, pemphigoid)
2.3.12-3(3)	Cutaneous larva migrans
2.3.12-3(4)	Cutaneous lupus erythematosus
2.3.12-3(5)	Erythema multiforme, erythema nodosum
2.3.12-3(6)	Gas gangrene
2.3.12-3(7)	hemangioma
2.3.12-3(8)	Keloid, hypertrophic scar
2.3.12-3(9)	Leprosy
2.3.12-3(10)	Melasma
2.3.12-3(11)	Papulosquamous disorders (e.g., psoriasis, pityriasis rosea, lichen planus)
2.3.12-3(12)	Staphylococcal scalded skin syndrome
2.3.12-3(13)	Scleroderma
2.3.12-3(14)	Vitiligo
