@TBL 2.3.13 Disorders Of The Musculoskeletal System And Connective Tissue
2.3.13(1)	Costochondritis
2.3.13(2)	Crystal arthropathy (gout, pseudogout)
2.3.13(3)	Degenerative diseases of the spine
2.3.13(4)	Intervertebral disc disorder
2.3.13(5)	Osteoarthritis
2.3.13(6)	Osteoporosis
2.3.13(7)	Soft-tissue rheumatism (e.g., tendinitis, tenosynovitis, bursitis, fasciitis, myofascial pain syndrome)
2.3.13-3(1)	Abnormal curvature of the spine
2.3.13-3(2)	Allergic Purpura (Henoch-Schonlein purpura)
2.3.13-3(3)	Fibromyalgia
2.3.13-3(4)	Fracture (extremities)
2.3.13-3(5)	Juvenile arthritis
2.3.13-3(6)	Infective arthritis
2.3.13-3(7)	Myopathy
2.3.13-3(8)	Osteonecrosis
2.3.13-3(9)	Osteomyelitis
2.3.13-3(10)	Polymyositis, dermatomyositis
2.3.13-3(11)	Pyomyositis
2.3.13-3(12)	Rheumatoid arthritis
2.3.13-3(13)	Spondyloarthropathies (e.g., ankylosing spondylitis, reactive arthritis)
2.3.13-3(14)	Spondylolisthesis
2.3.13-3(15)	Systemic lupus erythematosus
2.3.13-3(16)	Vasculitis syndrome (e.g., Kawasaki disease, polyarthritis nodosa, drug-induced)
