@TBL 2.3.15 Pregnancy, Childbirth, And The Puerperium
2.3.15(1)	Abortion
2.3.15(2)	Disorders of breast and lactation associated with childbirth
2.3.15(3)	Hyperemesis gravidarum
2.3.15(4)	Low risk pregnancy
2.3.15(5)	Normal delivery
2.3.15(6)	Trauma to birth canal during delivery Breast infection associated with childbirth
2.3.15(7)	Postpartum hemorrhage
2.3.15-3(1)	Antepartum hemorrhage (e.g., placenta previa, placental abruption)
2.3.15-3(2)	Chorioamnionitis
2.3.15-3(3)	Dead fetus in utero
2.3.15-3(4)	Ectopic pregnancy
2.3.15-3(5)	Hydatidiform mole
2.3.15-3(6)	Hypertensive disorder in pregnancy
2.3.15-3(7)	Malposition & malpresentation of the fetus
2.3.15-3(8)	Multiple gestation
2.3.15-3(9)	Missed abortion
2.3.15-3(10)	Premature (pre-labor) rupture of membranes
2.3.15-3(11)	Pregnancy with medical complications
2.3.15-3(12)	Prolonged labor
2.3.15-3(13)	Prolonged pregnancy
2.3.15-3(14)	Puerperal infection
2.3.15-3(15)	Septic abortion
2.3.15-3(16)	Shoulder dystocia
2.3.15-3(17)	Umbilical cord complications (e.g., prolapsed umbilical cord, vasa previa)
@TBL 2.3.16 Certain Conditions Originating In The Perinatal Period
2.3.16(1)	Birth trauma
2.3.16(2)	Feeding problems of newborn
2.3.16(3)	Neonatal jaundice
2.3.16(4)	Postterm infant
2.3.16(5)	Transitory metabolic disorders (e.g., hypoglycemia, hypocalcemia, hypothermia, dehydration)
2.3.16-3(1)	Intrauterine and perinatal infections (e.g., rubella, gonococcal infection, tetanus neonatorum, chlamydial infection, HIV, hepatitis)
2.3.16-3(2)	Prematurity, low birth weight, pre-term infant
2.3.16-3(3)	Respiratory distress in newborn (e.g., respiratory distress syndrome, meconium aspiration syndrome)
2.3.16-3(4)	Slow fetal growth and fetal malnutrition
