@TBL 2.3.17 Congenital Malformations, Deformations And Chromosomal Abnormalities
2.3.17-3(1)	Adenotonsillar hypertrophy
2.3.17-3(2)	Chromosomal abnormalities (e.g., Trisomy 21, trisomy18, trisomy13, turner syndrome, Klinefelter)
2.3.17-3(3)	Common congenital anomalies (e.g., cleft lip and cleft palate, neural tube defects e.g., encephalocele, meningocele)
2.3.17-3(4)	Congenital malformations of heart (e.g., atrial septal defect, ventricular septal defect, patent ductus arteriosus, pulmonic stenosis, aortic stenosis, tetralogy of Fallot)
2.3.17-3(5)	Other congenital anomalies (e.g., Hydrocephalus, pre-auricular sinus, Hirschsprung disease, omphalocele, gastroschisis)
2.3.17-3(6)	Laryngomalacia
2.3.17-3(7)	Thyroglossal duct cyst
2.3.17-3(8)	Tongue tie
@TBL 2.3.18 Injury, Poisoning And Consequences Of External Causes
2.3.18(1)	Animal bites and stings
2.3.18(2)	Corrosions, heat stroke, electrical injury
2.3.18(3)	Foreign body on external eye
2.3.18(4)	Foreign body through orifices
2.3.18(5)	Mild muscle and tendon injuries (strains and sprains grade 1)
2.3.18(6)	Near-drowning
2.3.18(7)	poisoning & intoxication by biohazards, radio-hazards, drugs, substances, toxins, herbs and medicinal plants e.g., cannabis, kratom
2.3.18(8)	Toxic effects of contact with venomous animals
2.3.18(9)	Wound
2.3.18-3(1)	Abdominal injury
2.3.18-3(2)	Chest injury
2.3.18-3(3)	Compartment syndrome
2.3.18-3(4)	Eye injury
2.3.18-3(5)	Fracture
2.3.18-3(6)	Dislocations
2.3.18-3(7)	mistreatment syndrome (e.g., physical, sexual, and psychological maltreatment of children, adults, and elders)
2.3.18-3(8)	Traumatic brain injury
2.3.18-3(9)	Severe muscle and tendon injuries
2.3.18-3(10)	Spinal cord, plexus and peripheral nerve injury
