@TBL 2.3.19 External Causes Of Morbidity And Mortality
2.3.19(1)	Falls
2.3.19(2)	Drugs, medicaments, and biological substances causing adverse effects in therapeutic use
2.3.19(3)	Environmental-pollution-related conditions
2.3.19(4)	Healthcare related adverse events, harm or injuries
2.3.19(5)	Medical devices associated with adverse incidents in diagnostic and therapeutic use
2.3.19(6)	Problems related to life-style e.g., tobacco and e-cigarette/ vaping product use, alcohol and biological substance use, lack of physical exercise)
2.3.19(7)	Transport accidents
2.3.19(8)	Work-related conditions (e.g., Pneumoconiosis)
2.3.19-3(1)	Exposure to forces of nature (e.g., natural heat or cold, sunlight, victim of lightning, victim of earthquake, victim of flood)
2.3.19-3(2)	Intention self-harm e.g., crashing of motor vehicle, hanging and suffocation, handgun discharge, corrosive agent ingestion
@SEC 3.1 การตรวจทางห้องปฏิบัติการและการตรวจพิเศษ|ข|
3.1.1	Hematocrit
3.1.2	Blood smear: differential white blood cell count, red cell morphology, platelet estimate and morphology
3.1.3	Malarial parasite
3.1.4	ABO blood group, Anti-D (Rh blood group)
3.1.5	20-min whole blood clotting test (20WBCT)
3.1.6	Urine analysis
3.1.7	Body fluid analysis (e.g., CSF, pleural)
