@TBL B1.6 Principle of pathology|B1.6 Principle of pathology
B1.6.3(1)	Control of normal proliferation and tissue growth (e.g., stem cell, tissue proliferation activity)
B1.6.3(2)	Mechanism of tissue and organ regeneration
B1.6.3(3)	Healing by repair, scar formation and fibrosis
B1.6.4	Neoplasm
B1.6.4(1)	Neoplasm biology transformation, oncogenes, oncogenesis, altered cell differentiation and proliferation, invasion and metastasis, angiogenesis
B1.6.4(2)	Classification, grading and staging of Neoplasm
B1.6.4(3)	Tumor markers
B1.6.4(4)	Neoplasm epidemiology and prevention
B1.6.5	Adaptation to environmental extremes, including occupational exposures [เอกสารพิมพ์เลขซ้ำเป็น B1.6.4]
B1.6.5(1)	physical and associated disorders (e.g. mechanical trauma & radiation, decreased atmospheric pressure, thermal injuries, electrical injury, high altitude sickness, increased water pressure)
B1.6.5(2)	Chemical poisoning and therapy (e.g. agricultural hazards, biological venom and toxins, heavy metal, gases, vapours, smoke inhalation, volatile organic solvents, principle of poisoning and therapy)
@TBL B1.7 Principle of pharmacology|B1.7 Principle of pharmacology
B1.7.1	Pharmacodynamic and pharmacokinetic processes
B1.7.1(1)	Pharmacokinetics: absorption and bioavailability, distribution, metabolism, excretion, dose, method of administration and dosage intervals
B1.7.1(2)	Pharmacodynamics: mechanisms of drug action, receptors (e.g., types, signal transduction, desensitization), concentration- and dose-effect relationships (e.g., efficacy, potency, therapeutic window), types and actions of agonists and antagonists
B1.7.1(3)	Factors altering pharmacokinetics and pharmacodynamics in special population (e.g., age, pregnancy, gender, disease, tolerance, pharmacogenomics)
B1.7.1(4)	Adverse drug effects including contraindication, warning, precautions, side effects, drug interactions, overdose and toxicity
B1.7.1(5)	Drug development and regulatory issues (e.g., approval scheduling, bioequivalence, biosimilar)
B1.7.1(6)	Concept of rational drug use
B1.7.2	Antimicrobials and anthelminthic agents: mechanism of action, adverse effect
B1.7.3	General principles of antineoplastic agents (e.g., chemotherapy, hormonal and targeted therapy: tyrosine kinase inhibitors, growth factor receptor inhibitors, monoclonal antibody)
B1.7.4	General principles of immunomodulating agents (e.g., corticosteroid)
