@TBL B7.2.6 Vascular disorders|B7.2 สาเหตุ พยาธิกำเนิด พยาธิสรีรวิทยา พยาธิสภาพ การวินิจฉัยโรค และปัจจัย
B7.2.6(1)	Acute coronary syndrome
B7.2.6(2)	Ischemic heart diseases (e.g., angina pectoris, myocardial infarction, chronic coronary syndrome)
B7.2.6-3(1)	Aortic aneurysm and dissection
B7.2.6-3(2)	Peripheral arterial occlusive disease
B7.2.6-3(3)	Diseases of peripheral veins (thrombophlebitis, varicose veins)
@TBL B7.3 การสืบค้นโรค รวมถึงการเก็บสิ่งส่งตรวจทางห้องปฏิบัติการและการแปลผล|B7.3 การสืบค้นโรค
B7.3(1)	Lipid profile
B7.3(2)	Cardiac markers
B7.3(3)	Electrocardiography
B7.3(3)a	Electrocardiography: For identifying mean electrical axis and interpretation
B7.3(3)b	Electrocardiography: For identifying heart rate and rhythm (normal sinus rhythm, bradycardia, supraventricular tachycardia, ventricular tachycardia, ventricular fibrillation, atrial fibrillation)
B7.3(3)c	Electrocardiography: For diagnosis of acute ST-elevation myocardial infarction
@TBL B7.4 หลักการใช้กลุ่มยาอย่างสมเหตุผล|B7.4 หลักการใช้ยาอย่างสมเหตุผล
B7.4(1)	Beta-adrenoceptor blocking drugs
B7.4(2)	Drugs affecting the renin-angiotensin system
B7.4(3)	Nitrates, calcium-channel blockers and other vasodilators
B7.4(4)	Other antihypertensive drugs (e.g., vasodilator antihypertensive drugs, centrally acting antihypertensive drugs, alpha-adrenoceptor blocking drugs, diuretics)
B7.4(5)	Positive inotropic drugs
B7.4(6)	Inotropic sympathomimetics, vasoconstrictor sympathomimetics and drugs used in cardiopulmonary resuscitation
B7.4(7)	Anti-arrhythmic drugs
B7.4(8)	Drugs affecting lipid and lipoprotein metabolism
