@TBL B10.2.6 Disorders relating to pregnancy, the puerperium, and the post-partum period|B10.2 สาเหตุ พยาธิกำเนิด พยาธิสรีรวิทยา พยาธิสภาพ การวินิจฉัยโรค และปัจจัย
B10.2.6(1)	Abortion
B10.2.6(2)	Hyperemesis gravidarum
B10.2.6(3)	Postpartum hemorrhage
B10.2.6(4)	Breast infection associated with childbirth
B10.2.6(5)	Disorders of breast and lactation associated with childbirth
B10.2.6-3(1)	Multiple gestation
B10.2.6-3(2)	Antepartum hemorrhage (placenta previa, placental abruption)
B10.2.6-3(3)	Ectopic pregnancy
B10.2.6-3(4)	Septic abortion
B10.2.6-3(5)	Dead fetus in utero
B10.2.6-3(6)	Hypertensive disorder in pregnancy
B10.2.6-3(7)	Puerperal infection
B10.2.6-3(8)	Chorio-amnionitis
@TBL B10.2.7 Disorders in the perinatal period|B10.2 สาเหตุ พยาธิกำเนิด พยาธิสรีรวิทยา พยาธิสภาพ การวินิจฉัยโรค และปัจจัย
B10.2.7(1)	Neonatal jaundice
B10.2.7-3(1)	Respiratory distress in newborn (e.g., respiratory distress syndrome, meconium aspiration syndrome)
@TBL B10.3 การสืบค้นโรค รวมถึงการเก็บสิ่งส่งตรวจทางห้องปฏิบัติการและการแปลผล|B10.3 การสืบค้นโรค
B10.3(1)	Urine pregnancy test
B10.3(2)	KOH preparation, wet preparation
B10.3(3)	Gynecological cytology: Pap smear
B10.3(4)	Serum beta human chorionic gonadotropin
B10.3(5)	Hypothalamic-pituitary-ovarian axis investigation
B10.3(6)	Human immunodeficiency virus tests
B10.3(7)	Human papillomavirus DNA test
B10.3(8)	Serologic studies: treponema test
@TBL B10.4 หลักการใช้กลุ่มยาอย่างสมเหตุผล|B10.4 หลักการใช้ยาอย่างสมเหตุผล
B10.4(1)	Prostaglandins and prostaglandin antagonists
B10.4(2)	Oxytocic and tocolytic drugs
B10.4(3)	Contraceptive drugs
B10.4(4)	Female sex hormones and treatment of menopause
B10.4(5)	Stimulators and inhibitors of lactation
B10.4(6)	Male sex hormones
B10.4(7)	Drugs for hyperplasia of prostate
B10.4(8)	Drugs for erectile dysfunction (e.g., phosphodiesterase type 5 inhibitor)
